X, Y, T, Action
0.59338, 0.825538, -1.53261, GoToPosition
0.59449, 0.827534, -1.55524, TurnToAngle
0.594014, 0.827375, -1.5375, TurnToAngle
0.590196, 0.825426, -1.44823, Turn
0.578605, 0.819198, -1.15392, GoToPosition
0.574108, 0.815881, -1.0263, TurnToAngle
0.569933, 0.811621, -0.895929, Turn
-0.00174817, -0.00170122, -0.773922, GoToPosition
0.561863, 0.801862, -0.620447, TurnToAngle
0.556485, 0.794138, -0.407897, GoToPosition
0.554935, 0.789993, -0.310417, Turn
0.553683, 0.780094, -0.0888434, TurnToAngle
0.553471, 0.776305, -0.00254837, Turn
0.553666, 0.772403, 0.0836626, GoToPosition
0.553698, 0.769032, 0.15952, TurnToAngle
0.554442, 0.765027, 0.251121, Turn
0.555506, 0.762164, 0.318919, Turn
0.556327, 0.759292, 0.384692, GoToPosition
0.558368, 0.756129, 0.46814, TurnToAngle
0.561077, 0.751327, 0.528588, Turn
0.564807, 0.747866, 0.646208, TurnToAngle
0.566175, 0.74695, 0.735544, Turn
0.569432, 0.746856, 0.787473, GoAhead
0.603277, 0.779931, 0.873136, GoToPosition
0.616351, 0.795495, 0.878913, Turn
0.638134, 0.822357, 0.873432, TurnToAngle
0.65541, 0.844835, 0.835426, GoToPosition
0.679922, 0.874086, 0.781296, TurnToAngle
0.699567, 0.895204, 0.781296, Turn
0.741217, 0.935144, 0.657596, GoAhead
0.784311, 0.970264, 0.571675, TurnToAngle
0.813957, 0.989574, 0.560161, Turn
0.831087, 1.00029, 0.565049, GoToPosition
-4.02847e-23, 3.10712e+32, 0.602352, TurnToAngle
0.880858, 1.03035, 0.643492, Turn
0.905056, 1.047, 0.683044, GoToPosition
0.936143, 1.07049, 0.738817, GoAhead
0.975495, 1.10458, 0.816604, GoAhead
0.995937, 1.12595, 0.819124, GoToPosition
1.00591, 1.13662, 0.819027, TurnToAngle
1.01586, 1.14728, 0.818956, Turn
1.04279, 1.17637, 0.813938, TurnToAngle
1.04279, 1.17637, 0.790161, Turn
1.08097, 1.21858, 0.709961, GoAhead
1.09443, 1.23205, 0.670304, GoAhead
1.11546, 1.25172, 0.670304, GoToPosition
1.14031, 1.27311, 0.625117, GoAhead
1.15207, 1.28181, 0.622754, GoToPosition
1.16401, 1.29029, 0.622792, GoAhead
1.17986, 1.30164, 0.62285, GoToPosition
1.19172, 1.31015, 0.622865, GoAhead
1.23922, 1.34426, 0.62286, GoToPosition
1.26694, 1.36414, 0.622897, GoToPosition
1.29066, 1.38118, 0.622877, GoToPosition
1.31444, 1.39825, 0.622863, GoAhead
1.32233, 1.40392, 0.622876, GoAhead
1.33423, 1.41248, 0.622872, GoToPosition
1.35005, 1.42383, 0.622865, TurnToAngle
1.35797, 1.42951, 0.623106, TurnToAngle
1.37141, 1.4393, 0.636635, Turn
1.41061, 1.466, 0.676147, GoAhead
1.43437, 1.48343, 0.715902, GoAhead
