X, Y, T, Action
-1.20608, -0.959228, 2.31512, GoToPosition
-1.20541, -0.959201, 2.317, TurnToAngle
-1.20506, -0.958655, 2.31727, Turn
-1.20516, -0.95854, 2.29842, GoToPosition
-1.20523, -0.958491, 2.26388, Reaction
-1.20319, -0.963864, 2.22857, GoToPosition
-1.17875, -0.994089, 2.17807, TurnToAngle
-1.14565, -1.02653, 2.10046, Turn
-1.12926, -1.04406, 2.04513, GoToPosition
-1.1265, -1.05359, 2.00716, TurnToAngle
-1.12595, -1.0602, 1.97403, Turn
-1.12678, -1.06493, 1.94884, GoToPosition
-1.12698, -1.06817, 1.93256, Stop
-1.12754, -1.06751, 1.9203, GoToPosition
-1.13201, -1.06775, 1.91392, TurnToAngle
-1.13748, -1.06665, 1.91239, Turn
-1.14189, -1.06274, 1.90827, GoToPosition
-1.14252, -1.05674, 1.88669, TurnToAngle
-1.14295, -1.05181, 1.87233, Turn
-1.14358, -1.04739, 1.85745, GoToPosition
-1.14458, -1.04267, 1.8423, TurnToAngle
-1.14537, -1.03713, 1.82266, Turn
-1.14524, -1.03263, 1.80927, GoToPosition
-1.14568, -1.03247, 1.79235, TurnToAngle
-1.14449, -1.0357, 1.77284, Turn
-1.14337, -1.03908, 1.75359, GoToPosition
-1.14221, -1.04248, 1.73409, TurnToAngle
-1.14101, -1.04618, 1.71502, Turn
-1.1401, -1.04946, 1.69552, GoToPosition
-1.13894, -1.05401, 1.67034, TurnToAngle
-1.13842, -1.05637, 1.65746, Turn
-1.13777, -1.05979, 1.63903, GoToPosition
-1.13688, -1.06313, 1.62083, TurnToAngle
-1.13637, -1.06626, 1.60262, Turn
-1.13562, -1.06939, 1.58446, GoToPosition
-1.13507, -1.07261, 1.56752, TurnToAngle
-1.13444, -1.07562, 1.54988, Turn
-1.13396, -1.07775, 1.53839, GoToPosition
-1.13328, -1.08103, 1.52241, TurnToAngle
-1.13262, -1.08414, 1.5059, Turn
-1.13207, -1.08731, 1.46906, TurnToAngle
-1.13143, -1.0915, 1.45357, Turn
-1.13037, -1.09775, 1.43869, TurnToAngle
-1.12927, -1.10473, 1.40394, Turn
-1.1289, -1.10782, 1.38959, TurnToAngle
-1.1286, -1.10943, 1.34739, Turn
-1.12868, -1.10952, 1.32895, TurnToAngle
-1.12868, -1.10952, 1.30478, Turn
-1.12881, -1.10958, 1.26917, TurnToAngle
-1.12891, -1.10957, 1.24627, Turn
-1.12895, -1.10963, 1.21802, TurnToAngle
-1.12905, -1.10963, 1.20199, Turn
-1.12908, -1.10962, 1.18049, GoToPosition
-1.12909, -1.10962, 1.165, TurnToAngle
-1.12912, -1.10968, 1.14986, Turn
-1.12921, -1.10966, 1.09524, TurnToAngle
-1.12915, -1.10958, 1.09524, Turn
-1.1292, -1.10967, 1.0668, TurnToAngle
-1.12927, -1.10966, 1.04892, Turn
-1.12932, -1.10973, 1.01785, GoToPosition
-1.1293, -1.10968, 1.00456, TurnToAngle
-1.12933, -1.10966, 0.991431, Turn
-1.12939, -1.10965, 0.97454, GoToPosition
-1.12939, -1.10965, 0.97454, TurnToAngle
-1.12936, -1.10966, 0.962358, Turn
-1.12933, -1.1096, 0.934656, GoToPosition
-1.12938, -1.10967, 0.923199, TurnToAngle
-1.12936, -1.10962, 0.923199, Turn
-1.12232, -1.10131, 0.907953, GoToPosition
-1.11141, -1.08765, 0.886436, TurnToAngle
-1.09659, -1.06975, 0.886436, Turn
-1.08528, -1.05632, 0.862358, GoToPosition
-1.07004, -1.03883, 0.849074, GoAhead
-1.06226, -1.02999, 0.845251, GoAhead
-1.03497, -0.999186, 0.845187, GoAhead
-0.995973, -0.955228, 0.845183, GoAhead
-0.984296, -0.942044, 0.30292, TurnToAngle
-0.968723, -0.924497, 0.845189, Turn
-0.95211, -0.906012, 0.853019, GoAhead
-0.94561, -0.897733, 0.880913, TurnToAngle
-0.919352, -0.865926, 0.880834, Turn
-0.896786, -0.839616, 0.864267, GoAhead
-0.881547, -0.822036, 0.85731, GoAhead
-0.858505, -0.795371, 0.857315, GoAhead
-0.8316, -0.7643, 0.857382, GoAhead
-0.804727, -0.733234, 0.85737, GoAhead
-0.781662, -0.706568, 0.857382, GoToPosition
-0.766355, -0.688806, 0.857339, GoAhead
-0.743336, -0.662169, 0.857339, GoAhead
-0.716473, -0.631134, 0.857326, GoAhead
-0.704956, -0.617828, 0.857247, GoToPosition
-0.69343, -0.604484, 0.857273, GoAhead
-0.67805, -0.586734, 0.85726, GoToPosition
-0.66652, -0.573418, 0.857256, GoAhead
-0.655001, -0.560123, 0.85724, GoToPosition
-0.639678, -0.542393, 0.857143, TurnToAngle
-0.628175, -0.529134, 0.857113, Turn
-0.616627, -0.515771, 0.851661, GoToPosition
-0.601295, -0.498531, 0.838891, TurnToAngle
-0.589603, -0.485739, 0.829575, Turn
-0.577738, -0.472945, 0.81996, GoToPosition
-0.561867, -0.4562, 0.807595, GoAhead
-0.54971, -0.443608, 0.80396, GoToPosition
-0.54971, -0.443608, 0.803914, GoAhead
-0.537526, -0.430883, 0.803932, GoToPosition
-0.525324, -0.418159, 0.803932, GoAhead
-0.496789, -0.388539, 0.804028, GoToPosition
-0.496789, -0.388539, 0.804035, TurnToAngle
-0.484592, -0.375868, 0.804083, Turn
-0.468314, -0.358957, 0.804083, GoToPosition
-0.456202, -0.346823, 0.787278, TurnToAngle
-0.44406, -0.33483, 0.774667, Turn
-0.415386, -0.306888, 0.75475, TurnToAngle
-0.385771, -0.279401, 0.741223, Turn
-0.372928, -0.267909, 0.730944, GoAhead
-0.333409, -0.23314, 0.718016, GoAhead
-0.32012, -0.221539, 0.718003, GoAhead
-0.289144, -0.194515, 0.718024, GoAhead
-0.262626, -0.171338, 0.718016, TurnToAngle
-0.231695, -0.144311, 0.718014, Turn
-0.200732, -0.11742, 0.703114, TurnToAngle
-0.187182, -0.106247, 0.693628, Turn
-0.173852, -0.0956667, 0.683191, GoToPosition
-0.160501, -0.0850404, 0.67339, TurnToAngle
-0.160501, -0.0850404, 0.660284, Turn
-0.128702, -0.0603042, 0.650984, GoToPosition
-0.114923, -0.0496573, 0.650984, TurnToAngle
-0.0962042, -0.0355537, 0.626195, Turn
-0.0678588, -0.0146871, 0.615685, TurnToAngle
-0.0486876, -0.00125268, 0.591101, Turn
-0.0195727, 0.0183959, 0.581014, TurnToAngle
-0.0195727, 0.0183959, 0.560643, Turn
0.01528, 0.0400999, 0.547742, GoToPosition
0.0302387, 0.0493997, 0.537778, GoAhead
0.0454444, 0.0583175, 0.537778, GoToPosition
0.0656988, 0.0702162, 0.531076, GoAhead
0.0808883, 0.0791476, 0.531094, GoToPosition
0.0960916, 0.0880864, 0.531095, TurnToAngle
0.0960916, 0.0880864, 0.531095, Turn
0.131539, 0.108763, 0.525818, TurnToAngle
0.151634, 0.119462, 0.512487, Turn
0.182059, 0.136163, 0.492618, TurnToAngle
0.202686, 0.147103, 0.478614, Turn
0.218438, 0.15527, 0.468054, GoToPosition
0.234271, 0.163164, 0.444054, TurnToAngle
0.254996, 0.173177, 0.433532, Turn
-23.2188, 1.1739e-38, 0.423019, TurnToAngle
0.308066, 0.197381, 0.409404, Turn
0.340066, 0.210888, 0.388726, TurnToAngle
0.378164, 0.225732, 0.363898, Turn
0.416644, 0.239983, 0.348581, TurnToAngle
0.438746, 0.24796, 0.337616, Turn
0.477818, 0.260706, 0.296335, TurnToAngle
0.477818, 0.260706, 0.28563, Turn
0.511576, 0.270692, 0.274521, TurnToAngle
0.534246, 0.276743, 0.259003, Turn
0.568492, 0.285398, 0.237297, TurnToAngle
0.585581, 0.289485, 0.227238, Turn
0.642907, 0.301993, 0.203232, TurnToAngle
0.660195, 0.305198, 0.18031, Turn
0.677548, 0.308479, 0.168986, GoToPosition
0.694914, 0.311265, 0.157532, TurnToAngle
0.712287, 0.313929, 0.146175, Turn
0.729657, 0.316557, 0.134979, GoToPosition
0.747196, 0.318913, 0.12412, TurnToAngle
0.747196, 0.318913, 0.112918, Turn
0.787355, 0.323055, 0.0982829, TurnToAngle
0.804932, 0.324719, 0.0876682, Turn
0.857057, 0.328561, 5.60082e-16, TurnToAngle
0.857057, 0.328561, 0.0452115, Turn
0.874392, 0.32942, 0.0452115, GoToPosition
0.909319, 0.330707, 0.0346455, Stop
0.922086, 0.331156, 0.0240164, GoToPosition
0.922086, 0.331156, 0.0149252, Stop
0.921997, 0.331164, 0.0148453, GoToPosition
0.921918, 0.331185, 0.0148201, Stop
0.921882, 0.331255, 0.0148747, GoToPosition
0.921877, 0.331295, 0.0148963, Stop
0.921869, 0.331339, 0.0148963, GoToPosition
0.921892, 0.331353, 0.0149236, Stop
0.921892, 0.331353, 0.0149236, GoToPosition
0.921886, 0.331349, 0.0149058, Stop
0.9219, 0.331355, 0.0148958, GoToPosition
0.9219, 0.331364, 0.0149039, Stop
0.921881, 0.331356, 0.0148766, GoToPosition
0.921905, 0.331358, 0.0148483, Stop
0.921927, 0.331368, 0.0148405, GoToPosition
0.921952, 0.331362, 0.0148977, TurnToAngle
0.921981, 0.331386, 0.0148725, Turn
0.921997, 0.331384, 0.00588636, GoToPosition
0.922052, 0.331335, -0.00887567, TurnToAngle
0.922087, 0.331369, -0.0239723, Turn
0.922087, 0.331369, -0.0239723, GoToPosition
0.922107, 0.331348, -0.0561609, TurnToAngle
0.922131, 0.331373, -0.0725449, Turn
0.922153, 0.331398, -0.0889885, GoToPosition
0.922153, 0.331398, -0.0889885, TurnToAngle
0.922135, 0.331403, -0.105418, Turn
0.922171, 0.331372, -0.121915, GoToPosition
0.922076, 0.331407, -0.138438, TurnToAngle
0.922072, 0.331435, -0.155091, Turn
0.921997, 0.331434, -0.188244, GoToPosition
0.921997, 0.331434, -0.204374, TurnToAngle
0.92206, 0.331445, -0.220464, Turn
0.921962, 0.331507, -0.252118, TurnToAngle
0.921895, 0.331529, -0.267822, Turn
0.92185, 0.331613, -0.288645, GoToPosition
0.921799, 0.331666, -0.304374, TurnToAngle
0.921747, 0.331701, -0.320118, Turn
0.921705, 0.331758, -0.330508, GoToPosition
-23.2188, 1.1739e-38, -0.351251, TurnToAngle
-23.2188, 1.1739e-38, -0.351251, Turn
0.921498, 0.331855, -0.376867, GoToPosition
0.921373, 0.331901, -0.396912, TurnToAngle
0.921316, 0.331971, -0.411938, Turn
0.921245, 0.332021, -0.441414, TurnToAngle
0.921261, 0.332031, -0.456185, Turn
0.921141, 0.332124, -0.489531, TurnToAngle
0.92112, 0.332166, -0.503635, Turn
0.921043, 0.332169, -0.530851, TurnToAngle
0.921043, 0.332169, -0.544492, Turn
0.921019, 0.332205, -0.562405, TurnToAngle
0.920996, 0.332238, -0.575697, Turn
0.920876, 0.332268, -0.606809, TurnToAngle
0.920852, 0.332278, -0.61982, Turn
0.920853, 0.332269, -0.632927, GoToPosition
0.920823, 0.332307, -0.662164, TurnToAngle
0.920753, 0.332382, -0.674577, Turn
0.920776, 0.332342, -0.686689, GoToPosition
0.920808, 0.332354, -0.686689, TurnToAngle
0.920804, 0.332308, -0.702973, Turn
0.920888, 0.332192, -0.738035, TurnToAngle
0.920833, 0.332138, 4.59177e-41, Turn
3.58732e-43, 2.58287e-39, -0.760857, GoToPosition
0.941171, 0.312639, -0.77306, TurnToAngle
0.957848, 0.296017, -0.77306, Turn
0.963414, 0.291617, -0.805879, GoToPosition
0.96333, 0.291664, -0.836976, TurnToAngle
0.963351, 0.29175, -0.860593, Turn
0.969791, 0.283163, -0.877562, GoToPosition
0.980938, 0.269607, -0.888886, GoAhead
1.00656, 0.237597, -0.896973, TurnToAngle
1.01749, 0.223885, -0.897028, Turn
1.04289, 0.191951, -0.912245, TurnToAngle
1.04289, 0.191951, -0.912245, Turn
1.0775, 0.145652, -0.931138, TurnToAngle
1.08776, 0.131424, -0.952879, Turn
1.08776, 0.131424, -0.973, GoToPosition
1.09334, 0.125225, -1.00806, GoAhead
1.09293, 0.126198, -1.02464, GoToPosition
1.09773, 0.117252, -1.02468, GoAhead
1.12802, 0.0670324, -1.02492, GoAhead
1.14019, 0.046977, -1.02491, GoToPosition
1.14019, 0.046977, -1.02483, GoAhead
1.15846, 0.0168589, -1.02483, GoAhead
1.17066, -0.00322032, -1.02481, GoToPosition
1.17981, -0.0182587, -1.02482, GoAhead
1.18894, -0.0332984, -1.02481, GoToPosition
1.20111, -0.0533162, -1.02482, GoAhead
1.21023, -0.0683442, -1.0248, GoToPosition
1.2194, -0.0833949, -1.0248, GoAhead
1.24073, -0.118494, -1.02474, TurnToAngle
1.25899, -0.148562, -1.0247, Turn
1.27364, -0.173364, -1.03122, TurnToAngle
1.2793, -0.183137, -1.04163, Turn
1.29083, -0.203246, -1.05464, GoToPosition
1.29083, -0.203246, -1.05464, TurnToAngle
1.29916, -0.218368, -1.06525, Turn
1.30759, -0.233595, -1.07769, GoToPosition
1.31487, -0.247264, -1.0348, TurnToAngle
1.31602, -0.248711, -1.0348, Turn
1.31735, -0.25135, -0.970606, TurnToAngle
1.3306, -0.270885, -0.982952, Turn
1.34395, -0.291014, -0.99233, GoToPosition
1.34395, -0.291014, -1.00254, TurnToAngle
1.34403, -0.291112, -1.01818, Turn
1.34926, -0.300256, -1.04214, TurnToAngle
1.35811, -0.315381, -1.05441, Turn
1.37796, -0.351275, -1.08238, GoAhead
1.39436, -0.38249, -1.09324, GoToPosition
1.40234, -0.398165, -1.10118, GoAhead
1.41301, -0.419064, -1.10136, GoToPosition
1.421, -0.434809, -1.1014, GoAhead
1.42897, -0.450538, -1.10146, GoToPosition
1.43691, -0.466236, -1.10143, GoAhead
1.43691, -0.466236, -1.1014, Reaction
1.4449, -0.481949, -1.10259, Reaction
1.45005, -0.491955, -1.14127, GoAhead
1.41431, -0.44214, -1.21591, GoAhead
1.43624, -0.478011, -1.21746, GoToPosition
1.44636, -0.49943, -1.21732, GoAhead
1.45267, -0.516466, -1.21695, GoToPosition
1.45882, -0.533053, -1.21697, GoAhead
1.46495, -0.549598, -1.21698, GoToPosition
1.47105, -0.566135, -1.21695, GoAhead
1.47716, -0.582662, -1.21697, GoToPosition
1.48328, -0.599163, -1.21695, GoAhead
1.48938, -0.61569, -1.21692, GoToPosition
1.49547, -0.632188, -1.21688, GoAhead
1.50159, -0.648694, -1.21685, GoToPosition
1.50769, -0.665195, -1.21684, GoAhead
1.51378, -0.681718, -1.21687, GoToPosition
1.51987, -0.698256, -1.21684, GoAhead
1.52599, -0.714781, -1.21684, GoToPosition
1.53005, -0.725772, -1.21682, Stop
1.53448, -0.737847, -1.21679, GoToPosition
1.53448, -0.737847, -1.21679, Stop
1.53449, -0.737903, -1.21676, Stop
1.53452, -0.737939, -1.21672, GoToPosition
1.53452, -0.737955, -1.21668, Stop
1.53452, -0.737962, -1.21662, Stop
1.53454, -0.737974, -1.21654, Stop
1.53451, -0.738009, -1.21656, Stop
1.53449, -0.737983, -1.21655, Stop
1.53448, -0.738015, -1.21657, Reaction
1.51846, -0.695063, -1.21677, Stop
1.50625, -0.662006, -1.2167, Stop
1.50384, -0.65547, -1.21693, Stop
1.50385, -0.655435, -1.21694, Stop
1.50383, -0.655461, -1.21691, Reaction
1.50216, -0.651161, -1.21689, Reaction
1.48131, -0.5908, -1.17867, Stop
1.46923, -0.554809, -1.14201, Stop
1.4693, -0.554927, -1.14196, GoToPosition
1.46934, -0.554976, -1.14197, Stop
1.46939, -0.555001, -1.14203, Stop
1.46938, -0.555012, -1.14203, GoToPosition
1.46938, -0.555013, -1.13874, Reaction
1.4504, -0.505988, -1.06661, Stop
1.44336, -0.486451, -1.02925, GoToPosition
1.443, -0.485794, -1.02636, Stop
1.44268, -0.486069, -1.02623, GoToPosition
1.44269, -0.48603, -1.02628, Stop
1.44269, -0.48602, -1.02635, GoToPosition
1.44265, -0.486028, -1.02636, Stop
1.44265, -0.486028, -1.02636, GoToPosition
1.44265, -0.486044, -1.02637, Stop
1.44265, -0.486058, -1.02636, Stop
1.44266, -0.486068, -1.02636, GoToPosition
1.44266, -0.486072, -1.02636, Stop
1.44266, -0.486062, -1.02629, Stop
1.4427, -0.486054, -1.02627, Stop
1.44272, -0.486044, -1.02625, GoToPosition
1.44267, -0.486027, -1.02625, Stop
1.44266, -0.48602, -1.02621, GoToPosition
1.43629, -0.475573, -1.02612, GoToPosition
1.42562, -0.453871, -0.976316, Reaction
1.41454, -0.433072, -0.938965, GoToPosition
1.40274, -0.412822, -0.901233, Stop
1.39255, -0.394845, -0.863941, Stop
1.39207, -0.394604, -0.86092, Stop
1.39209, -0.394738, -0.860986, GoToPosition
1.3922, -0.394786, -0.860986, TurnToAngle
1.39223, -0.394831, -0.860962, Turn
1.39235, -0.394886, -0.868618, Stop
1.39233, -0.394441, -0.929635, Stop
1.3923, -0.394429, -0.929674, Stop
1.39228, -0.394408, -0.929675, Stop
1.3923, -0.394368, -0.929795, Stop
1.39229, -0.39434, -0.929817, Stop
1.3923, -0.394322, -0.929851, Stop
1.39229, -0.394321, -0.929843, Stop
1.39229, -0.394318, -0.929831, GoToPosition
1.39229, -0.394306, -0.929862, Stop
1.39231, -0.394287, -0.929878, GoToPosition
1.39229, -0.394283, -0.929878, Stop
1.39226, -0.394286, -0.929886, GoToPosition
1.39224, -0.394265, -0.929886, Stop
1.39225, -0.39427, -0.929895, GoToPosition
1.39225, -0.394294, -0.929892, Stop
1.39225, -0.394262, -0.929818, GoToPosition
1.39226, -0.394271, -0.929802, Stop
1.39225, -0.394272, -0.929765, GoToPosition
1.39228, -0.394271, -0.929781, Stop
1.39229, -0.394283, -0.929743, GoToPosition
1.39229, -0.394307, -0.929731, Stop
1.39229, -0.394284, -0.929674, GoToPosition
1.39231, -0.3943, -0.929648, Stop
1.3923, -0.394304, -0.929628, GoToPosition
1.3923, -0.394304, -0.929628, Stop
1.39229, -0.394317, -0.929587, Stop
1.39228, -0.394293, -0.92954, Stop
1.39228, -0.39427, -0.929553, GoToPosition
1.39228, -0.394282, -0.929561, Stop
1.23382, -1.25573, -0.929528, GoToPosition
1.39229, -0.394279, -0.929514, Stop
1.39229, -0.394305, -0.929533, GoToPosition
1.39227, -0.394323, -0.929541, Stop
1.39228, -0.394317, -0.929542, GoToPosition
1.39227, -0.394326, -0.929542, Stop
1.39229, -0.394315, -0.929568, GoToPosition
1.39227, -0.394323, -0.929574, Stop
1.39225, -0.39432, -0.929629, GoToPosition
1.39227, -0.394331, -0.929606, Stop
1.39227, -0.394354, -0.929651, GoToPosition
1.39227, -0.394354, -0.929639, Stop
1.39233, -0.394378, -0.929616, TurnToAngle
1.39231, -0.394382, -0.929557, Turn
1.39228, -0.394389, -0.929522, GoToPosition
1.39247, -0.394384, -0.929481, Stop
1.39245, -0.394287, -0.957904, GoToPosition
1.39245, -0.394287, -0.957771, Stop
1.3925, -0.394174, -0.957735, GoToPosition
1.39247, -0.394135, -0.957716, Stop
1.39249, -0.394124, -0.957739, GoToPosition
1.39252, -0.394099, -0.957751, Stop
